#,Reference,Qty,Both Gloves,Value,Footprint,DNP
1,"C1, C2, C3, C6, C8, C9, C10, C11, C12, C13, C14",11,22,0.1uF,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
2,"C4, C5",2,4,22pF,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
3,C7,1,2,10uF,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
4,"D1, D2",2,4,green,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
5,D3,1,2,red,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
6,D4,1,2,blue,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
7,H1,1,2,B_TopLeft,MountingHole:MountingHole_2.5mm,
8,H2,1,2,B_TopRight,MountingHole:MountingHole_2.5mm,
9,H3,1,2,B_BottomLeft,MountingHole:MountingHole_2.5mm,
10,H4,1,2,B_BottomRight,MountingHole:MountingHole_2.5mm,
11,J2,1,2,Polulu Regulator,Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical,
12,"J3, J4, J5",3,6,Conn_01x01_Pin,Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical,
13,J6,1,2,Conn_01x04,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,
14,"R1, R6",2,4,100k,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
15,"R2, R3, R7",3,6,1k,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
16,R4,1,2,470,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
17,"R9, R11, R12",3,6,1k,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
18,R10,1,2,510,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
19,"SW1, SW2, SW3, SW4",4,8,SW_Push,Button_Switch_SMD:SW_SPST_Omron_B3FS-100xP,digikey
20,U1,1,2,STM32F091RCTx,Package_QFP:LQFP-64_10x10mm_P0.5mm,digikey
21,U2,1,2,BNO085,Package_LGA:LGA-28_5.2x3.8mm_P0.5mm,
22,U3,1,2,MAX7375AXR805,Package_TO_SOT_SMD:SOT-323_SC-70_Handsoldering,
23,U4,1,2,HM-19,GlovePCB:HM-11-MODULE,
24,U5,1,2,Adafruit Charger,GlovePCB:AdaFruit Charger,ada
25,U6,1,2,BatteryCell,GlovePCB:battery_cell,ada
26,XTAL1,1,2,ECX-.327-CDX-1293,GlovePCB:XTAL_ECS-.327-12.5-34RR-TR,
